,Date, Open, High, Low, Close
227,02/06/19,1046.22,1049.57,1049.57,1049.57
228,02/05/19,1046.85,1045.77,1045.77,1045.77
229,02/04/19,1050.7,1046.61,1046.61,1046.61
230,02/01/19,1047.31,1050.21,1050.21,1050.21
231,01/31/19,1035.5,1047.87,1047.87,1047.87
232,01/30/19,1021.96,1036.15,1036.15,1036.15
233,01/29/19,1017.47,1022.21,1022.21,1022.21
234,01/28/19,1028.96,1017.44,1017.44,1017.44
235,01/25/19,1027.81,1029.15,1029.15,1029.15
236,01/24/19,1036.54,1027.7,1027.7,1027.7
237,01/23/19,1035.49,1036.65,1036.65,1036.65
238,01/22/19,1042.65,1035.35,1035.35,1035.35
239,01/18/19,1030.91,1042.81,1042.81,1042.81
240,01/17/19,1021.38,1030.62,1030.62,1030.62
241,01/16/19,1023.06,1021.42,1021.42,1021.42
242,01/15/19,1005.5,1022.98,1022.98,1022.98
243,01/14/19,1016.57,1005.45,1005.45,1005.45
244,01/11/19,1013.93,1017.28,1017.28,1017.28
245,01/10/19,1011.49,1013.96,1013.96,1013.96
246,01/09/19,1008.34,1011.51,1011.51,1011.51
247,01/08/19,998.92,1008.3,1008.3,1008.3
248,01/07/19,994.78,998.85,998.85,998.85
249,01/04/19,965.68,994.77,994.77,994.77
250,01/03/19,987.43,965.75,965.75,965.75
251,01/02/19,1001.09,987.65,987.65,987.65
252,12/31/18,987.64,1001.18,1001.18,1001.18
253,12/28/18,987.01,987.48,987.48,987.48
254,12/27/18,976.15,987.07,987.07,987.07
255,12/26/18,934.25,976.62,976.62,976.62
256,12/24/18,957.87,934.18,934.18,934.18
257,12/21/18,971.81,958.02,958.02,958.02
258,12/20/18,984.25,971.78,971.78,971.78
259,12/19/18,997.26,984.34,984.34,984.34
260,12/18/18,1005.08,997.04,997.04,997.04
261,12/17/18,1026.6,1005.04,1005.04,1005.04
262,12/14/18,1061.81,1026.67,1026.67,1026.67
263,12/13/18,1061.59,1062.49,1062.49,1062.49
264,12/12/18,1052.81,1061.65,1061.65,1061.65
265,12/11/18,1049.49,1052.6,1052.6,1052.6
266,12/10/18,1046.06,1049.44,1049.44,1049.44
267,12/07/18,1072.84,1046.01,1046.01,1046.01
268,12/06/18,1076.06,1072.97,1072.97,1072.97
269,12/04/18,1101.57,1076.29,1076.29,1076.29
270,12/03/18,1096.98,1101.62,1101.62,1101.62
271,11/30/18,1084.83,1096.84,1096.84,1096.84
272,11/29/18,1081.76,1085.11,1085.11,1085.11
273,11/28/18,1055.96,1081.82,1081.82,1081.82
274,11/27/18,1045.53,1055.87,1055.87,1055.87
275,11/26/18,1035.08,1045.51,1045.51,1045.51
276,11/23/18,1034.37,1035.74,1035.74,1035.74
277,11/21/18,1039.77,1034.52,1034.52,1034.52
278,11/20/18,1049.77,1039.8,1039.8,1039.8
279,11/19/18,1063.48,1049.99,1049.99,1049.99
280,11/16/18,1053.43,1063.52,1063.52,1063.52
281,11/15/18,1043.33,1053.61,1053.61,1053.61
282,11/14/18,1052.92,1043.64,1043.64,1043.64
283,11/13/18,1059.87,1052.66,1052.66,1052.66
284,11/12/18,1074.94,1059.87,1059.87,1059.87
285,11/09/18,1078.06,1074.78,1074.78,1074.78
286,11/08/18,1077.49,1078.32,1078.32,1078.32
287,11/07/18,1047.38,1078.14,1078.14,1078.14
288,11/06/18,1041.92,1047.35,1047.35,1047.35
289,11/05/18,1033.33,1041.93,1041.93,1041.93
290,11/02/18,1040.18,1033.3,1033.3,1033.3
291,11/01/18,1026.71,1040.12,1040.12,1040.12
292,10/31/18,1024.74,1026.7,1026.7,1026.7
293,10/30/18,1013.49,1024.73,1024.73,1024.73
294,10/29/18,1011.89,1013.51,1013.51,1013.51
295,10/26/18,1022.54,1011.7,1011.7,1011.7
296,10/25/18,1010.23,1022.71,1022.71,1022.71
297,10/24/18,1044.54,1010.21,1010.21,1010.21
298,10/23/18,1049.79,1044.6,1044.6,1044.6
299,10/22/18,1058.87,1050.2,1050.2,1050.2
300,10/19/18,1069.0,1058.82,1058.82,1058.82
301,10/18/18,1081.37,1069.0,1069.0,1069.0
302,10/17/18,1076.24,1081.37,1081.37,1081.37
303,10/16/18,1046.01,1076.25,1076.25,1076.25
304,10/15/18,1053.98,1045.93,1045.93,1045.93
305,10/12/18,1038.25,1054.06,1054.06,1054.06
306,10/11/18,1067.04,1038.71,1038.71,1038.71
307,10/10/18,1093.03,1067.14,1067.14,1067.15
308,10/09/18,1090.5,1093.08,1093.08,1093.08
309,10/08/18,1092.36,1090.49,1090.49,1090.49
310,10/05/18,1093.25,1092.32,1092.32,1092.32
311,10/04/18,1103.44,1093.25,1093.25,1093.25
312,10/03/18,1106.26,1103.66,1103.66,1103.66
313,10/02/18,1107.28,1106.23,1106.23,1106.23
314,10/01/18,1101.36,1107.28,1107.28,1107.28
315,09/28/18,1097.61,1101.36,1101.36,1101.36
316,09/27/18,1092.52,1097.69,1097.69,1097.69
317,09/26/18,1090.64,1092.83,1092.83,1092.83
318,09/25/18,1093.68,1090.61,1090.61,1090.61
319,09/24/18,1091.82,1093.68,1093.68,1093.68
320,09/21/18,1089.87,1091.93,1091.93,1091.93
321,09/20/18,1079.87,1089.86,1089.86,1089.86
322,09/19/18,1081.04,1079.83,1079.83,1079.83
323,09/18/18,1075.34,1081.03,1081.03,1081.03
324,09/17/18,1079.02,1075.33,1075.33,1075.33
325,09/14/18,1082.13,1078.92,1078.92,1078.92
326,09/13/18,1070.47,1082.49,1082.49,1082.49
327,09/12/18,1064.47,1070.31,1070.31,1070.31
328,09/11/18,1064.63,1064.47,1064.47,1064.47
329,09/10/18,1068.01,1064.73,1064.73,1064.73
330,09/07/18,1066.37,1068.04,1068.04,1068.04
331,09/06/18,1066.15,1066.42,1066.42,1066.42
332,09/05/18,1063.5,1066.46,1066.46,1066.46
333,09/04/18,1071.25,1063.58,1063.58,1063.58
334,08/31/18,1070.16,1071.38,1071.38,1071.38
335,08/30/18,1072.49,1071.37,1071.37,1071.37
336,08/29/18,1065.55,1072.53,1072.53,1072.53
337,08/28/18,1064.55,1065.54,1065.54,1065.54
338,08/27/18,1060.26,1064.54,1064.54,1064.54
339,08/24/18,1056.16,1060.95,1060.95,1060.95
340,08/23/18,1057.23,1056.17,1056.17,1056.17
341,08/22/18,1056.01,1057.21,1057.21,1057.21
342,08/21/18,1056.16,1056.06,1056.06,1056.06
343,08/20/18,1052.93,1056.22,1056.22,1056.22
344,08/17/18,1048.96,1052.91,1052.91,1052.91
345,08/16/18,1039.18,1048.99,1048.99,1048.99
346,08/15/18,1040.94,1039.47,1039.47,1039.47
347,08/14/18,1036.29,1041.11,1041.11,1041.11
348,08/13/18,1036.36,1036.45,1036.45,1036.45
349,08/10/18,1040.34,1036.36,1036.36,1036.36
350,08/09/18,1041.55,1040.43,1040.43,1040.43
351,08/08/18,1039.83,1041.49,1041.49,1041.49
352,08/07/18,1039.91,1039.83,1039.83,1039.83
353,08/06/18,1038.46,1039.95,1039.95,1039.95
354,08/03/18,1031.67,1038.48,1038.48,1038.48
355,08/02/18,1028.27,1031.9,1031.9,1031.9
356,08/01/18,1028.55,1028.9,1028.9,1028.91
357,07/31/18,1018.08,1028.39,1028.39,1028.39
358,07/30/18,1017.08,1018.07,1018.07,1018.07
359,07/27/18,1024.44,1017.08,1017.08,1017.08
360,07/26/18,1026.45,1024.41,1024.41,1024.41
361,07/25/18,1014.84,1026.43,1026.43,1026.43
362,07/24/18,1005.48,1014.79,1014.79,1014.79
363,07/23/18,1003.28,1005.68,1005.68,1005.68
364,07/20/18,1004.74,1003.27,1003.27,1003.27
365,07/19/18,1010.85,1005.3,1005.3,1005.3
366,07/18/18,1009.99,1010.88,1010.88,1010.88
367,07/17/18,1004.58,1010.06,1010.06,1010.06
368,07/16/18,1011.59,1004.65,1004.65,1004.65
369,07/13/18,1009.24,1011.6,1011.6,1011.6
370,07/12/18,997.79,1009.29,1009.29,1009.29
371,07/11/18,1006.3,998.35,998.35,998.35
372,07/10/18,1001.78,1006.33,1006.33,1006.33
373,07/09/18,995.98,1002.19,1002.19,1002.19
374,07/06/18,981.48,995.69,995.69,995.69
375,07/05/18,971.11,981.5,981.5,981.5
376,07/03/18,969.34,971.33,971.33,971.33
377,07/02/18,965.75,969.31,969.31,969.31
378,06/29/18,964.31,965.78,965.78,965.78
379,06/28/18,962.59,964.33,964.33,964.33
380,06/27/18,971.65,962.74,962.74,962.74
381,06/26/18,974.43,971.72,971.72,971.72
382,06/25/18,983.22,974.48,974.48,974.48
383,06/22/18,979.45,983.37,983.37,983.37
384,06/21/18,984.5,979.24,979.24,979.24
385,06/20/18,982.56,984.48,984.48,984.48
386,06/19/18,980.07,982.47,982.47,982.47
387,06/18/18,989.85,980.1,980.1,980.1
388,06/15/18,987.1,989.86,989.86,989.86
389,06/14/18,982.16,987.36,987.36,987.36
390,06/13/18,983.11,982.76,982.76,982.76
391,06/12/18,983.31,983.02,983.02,983.02
392,06/11/18,982.34,983.31,983.31,983.31
393,06/08/18,975.43,982.32,982.32,982.32
394,06/07/18,976.09,975.49,975.49,975.49
395,06/06/18,964.91,976.2,976.2,976.2
396,06/05/18,965.81,964.88,964.88,964.88
397,06/04/18,962.68,966.33,966.33,966.33
398,06/01/18,950.96,962.68,962.68,962.68
399,05/31/18,961.34,951.45,951.45,951.45
400,05/30/18,948.5,961.44,961.44,961.44
401,05/29/18,958.43,948.39,948.39,948.39
402,05/25/18,959.49,958.6,958.6,958.6
403,05/24/18,963.42,960.21,960.21,960.21
404,05/23/18,960.18,963.43,963.43,963.43
405,05/22/18,962.94,960.21,960.21,960.21
406,05/21/18,961.8,962.87,962.87,962.87
407,05/18/18,959.22,961.78,961.78,961.78
408,05/17/18,958.83,959.17,959.17,959.17
409,05/16/18,953.53,958.98,958.98,958.98
410,05/15/18,966.35,953.9,953.9,953.9
411,05/14/18,960.18,966.41,966.41,966.41
412,05/11/18,946.49,960.18,960.18,960.18
413,05/10/18,933.86,946.27,946.27,946.27
414,05/09/18,928.66,934.33,934.33,934.33
415,05/08/18,936.11,928.65,928.65,928.65
416,05/07/18,936.87,935.96,935.96,935.96
417,05/04/18,929.92,936.97,936.97,936.97
418,05/03/18,938.1,929.95,929.95,929.95
419,05/02/18,951.45,938.13,938.13,938.13
420,05/01/18,950.97,951.54,951.54,951.54
421,04/30/18,966.42,951.27,951.27,951.27
422,04/27/18,962.22,966.38,966.38,966.38
423,04/26/18,950.42,962.14,962.14,962.14
424,04/25/18,946.47,950.37,950.37,950.37
425,04/24/18,953.61,946.08,946.08,946.08
426,04/23/18,949.78,953.6,953.6,953.6
427,04/20/18,955.02,949.72,949.72,949.72
428,04/19/18,962.73,955.01,955.01,955.01
429,04/18/18,962.42,962.8,962.8,962.8
430,04/17/18,954.6,962.38,962.38,962.38
431,04/16/18,947.01,954.53,954.53,954.53
432,04/13/18,947.75,946.91,946.91,946.91
433,04/12/18,941.04,947.64,947.64,947.64
434,04/11/18,949.69,941.6,941.6,941.6
435,04/10/18,933.67,949.79,949.79,949.79
436,04/09/18,925.11,933.59,933.59,933.59
437,04/06/18,947.54,924.95,924.95,924.95
438,04/05/18,948.08,947.65,947.65,947.65
439,04/04/18,935.07,948.25,948.25,948.25
440,04/03/18,921.25,935.19,935.19,935.19
441,04/02/18,940.42,921.22,921.22,921.22
442,03/29/18,935.58,940.73,940.73,940.73
443,03/28/18,931.18,935.52,935.52,935.52
444,03/27/18,941.95,930.93,930.93,930.93
445,03/26/18,922.8,941.74,941.74,941.74
446,03/23/18,942.27,922.73,922.73,922.73
447,03/22/18,969.96,942.26,942.26,942.26
448,03/21/18,974.25,970.28,970.28,970.28
449,03/20/18,973.15,974.24,974.24,974.24
450,03/19/18,989.88,973.13,973.13,973.13
451,03/16/18,989.22,989.91,989.91,989.91
452,03/15/18,990.44,989.21,989.21,989.21
453,03/14/18,996.01,990.6,990.6,990.6
454,03/13/18,994.92,996.43,996.43,996.43
455,03/12/18,999.35,994.91,994.91,994.91
